WordId,TestId,PartOfSpeech,Description,Example,Source
0,0,adjective,markedly different from an accepted norm.,"When the financial director started screaming and throwing food at his co-workers, the police had to come in to deal with his aberrant behavior.",Magoosh
1,0,noun,a deviation from what is normal or expected.,Aberrations in climate have become the norm: rarely a week goes by without some meteorological phenomenon making headlines.,Magoosh
2,0,adjective,difficult to understand; incomprehensible.,Physics textbooks can seem so abstruse to the uninitiated that readers feel as though they are looking at hieroglyphics.,Magoosh
3,0,adjective,refusing to change one's mind.,"Civil rights icon Rosa Parks will forever be remembered for adamantly refusing to give up her seat on a public bus--even after the bus driver insisted, she remained rooted in place.",Magoosh
4,0,verb,"to warn strongly, even to the point of reprimanding.","Before the concert began, security personel admonished the crowd not to come up on stage during the performance.",Magoosh
5,0,adjective,serving to warn; expressing reproof or reproach especially as a corrective.,"At the assembly, the high school vice-principal gave the students an admonitory speech, warning them of the many risks and dangers of prom night.",Magoosh
6,0,noun,one who professes great sensitivity to the beauty of art and nature.,"A true aesthete, Marty would spend hours at the Guggenheim Museum, staring at the same Picasso.",Magoosh
7,0,adjective,concerned with the appreciation of beauty.,"The director, not known for his aesthetic sensibilities, decided not to use costumes at all, and put on the play in everyday clothing.",Magoosh
7,0,noun,a set of principles underlying and guiding the work of a particular artist or artistic movement.,"The artist operated according to a peculiar aesthetic, not considering any photograph to be worth publishing unless it contained a marine mammal.",Magoosh
8,0,noun,a mixture of multiple things.,"The band's music was an amalgam of hip-hop, flamenco and jazz, blending the three styles with surprising results.",Magoosh
9,0,adjective,open to more than one interpretation.,"The coach told his team, ""Move towards that side of the field""; because he did not point, his directions were ambiguous, and the team had no idea to which side he was referring.",Magoosh
10,0,adjective,mixed or conflicting emotions about something.,"Sam was ambivalent about studying for the exam because doing so ate up a lot of his time, yet he was able to improve his analytical skills.",Magoosh
11,0,verb,make something bad better.,Three Cups of Tea tells the story of western man who hopes to ameliorate poverty and the lack of education in Afghanistan.,Magoosh
12,0,adjective,easily persuaded.,"Even though she did not like the outdoors, Shirley was generally amenable and so her brother was able to persuade her to go camping.",Magoosh
13,0,adjective,shapeless.,His study plan for the GRE was at best amorphous; he would do questions from random pages in any one of seven test prep books.,Magoosh
14,0,adjective,not normal.,"According to those who do not believe in climate change, the extreme weather over the last five years is simply anomalous--average temps should return to average, they believe.",Magoosh
15,0,noun,"something that is not normal, standard, or expected.","After finding an anomaly in the data, she knew that she would have to conduct her experiment again.",Magoosh
16,0,noun,an intense feeling of dislike or aversion.,"Maria had an antipathy for tour groups, often bolting to the other side of the museum as soon as she saw a chaperone leading a group of wide-eyed tourists.",Magoosh
17,0,adjective,sharply contrasted in character or purpose.,"His deep emotional involvement with these ideas is, in fact, antithetical to the disattachment Buddhism preaches.",Magoosh
18,0,adjective,marked by a lack of interest.,Mr. Thompson was so talented at teaching math that even normally apathetic students took interest.,Magoosh
19,0,noun,an absence of emotion or enthusiasm.,Widespread apathy among voters led to a very small turnout on election day.,Magoosh
20,0,adjective,being of questionable authenticity.,The web is notorious for sandwiching apocryphal stories between actual news.,Magoosh
21,0,verb,pacify by acceding to the demands of.,"Neville Chamberlain, the British prime minister during WWII, tried to appease Hitler and in doing so sent a clear message: you can walk all over us.",Magoosh
22,0,adjective,"based on a random, groundless decision.",One of the arbitrary decrees in place during the emperor's rule is that all citizens pay him weekly homage at his palace. This word has other definitions but this is the most important one for the GRE.,Magoosh
23,0,adjective,requiring secret or mysterious knowledge.,Most college fraternities are known for arcane rituals that those hoping to the join the fraterntiy must learn.,Magoosh
24,0,adjective,exhibiting artistic skill.,Picasso is generally considered the most artful member of the Cubist movement.,Magoosh
24,0,adjective,clever in a cunning way.,Bernie Madoff's artful Ponzi scheme stole billions of dollars from investors and is considered the largest financial fraud in U.S. history.,Magoosh
25,0,adjective,practicing self-denial.,"His ascetic life is the main reason he inspired so many followers, especially since he gave up wealth and power to live in poverty.",Magoosh
25,0,noun,one who practices great self-denial.,"Historically, ascetics like Ghandi are often considered wise men partially because of their restraint.",Magoosh
26,0,adverb,with a look of suspicion or disapproval.,"The old couple looked askance on the teenagers seated next to them, whispering to each other, ""They've got rings through their noses and purple hair!"".",Magoosh
27,0,adjective,willing to be bold in social situations or to take risks.,"As all of the other campers cowered in their tents, Bill, armed only with a flashlight, audaciously tracked down the bear that had raided their food.",Magoosh
28,0,noun,aggressive boldness in social situations.,She surprised her colleagues by having the audacity to publically criticize the findings of an distinguished scientist.,Magoosh
29,0,adjective,"favorable, the opposite of sinister.","Despite an auspicious beginning, Mike's road trip became a series of mishaps, and he was soon stranded and penniless, leaning against his wrecked automobile.",Magoosh
30,0,adjective,practicing self-denial.,His lifestyle of revelry and luxurious excess could hardly be called austere.,Magoosh
30,0,adjective,unadorned in style or appearance.,"Late Soviet architecture, although remaining largely austere, moved into experimental territory that employed previously unused shapes and structures.",Magoosh
30,0,adjective,harsh in manner of temperament.,"The principal of my elementary school was a cold, austere woman; I could never understand why she chose to work with children.",Magoosh
31,0,adjective,excessively greedy.,Since avaricious desire is similar to gluttony or lust--sins of excess--it was listed as one of the seven deadly sins by the Catholic church.,Magoosh
32,0,adjective,repeated too often; overfamiliar through overuse.,The professor used such banal expression that many students in the class either fell asleep from bordeom or stayed awake to complete his sentences and humor friends.,Magoosh
33,0,noun,a trite or obvious remark.,Herbert regarded the minister's remark as a mere banality until Sharon pointed out profound implications to the seemingly obvious words.,Magoosh
34,0,verb,to give a false representation to; misrepresent.,The smile on her face belies the pain she must feel after the death of her husband.,Magoosh
35,0,adjective,characteristic of one eager to fight.,"Tom said that he was arguing the matter purely for philosophical reasons, but his belligerent tone indicated an underlying anger about the issue.",Magoosh
36,0,verb,"to reveal or make known something, usually unintentionally.","With the gold medal at stake, the gymnast awaited his turn, his quivering lip betraying his intense emotions.",Magoosh
37,0,verb,support and strengthen.,The case for the suspect's innocence was bolstered considerably by the fact that neither fingerprints nor DNA were found at the scene. This word has other definitions but this is the most important one for the GRE.,Magoosh
38,0,adjective,unrestrained by convention or propriety.,"Their large ""donations"" to the local police department gave the drug cartel the brazen confidence to do their business out in the open.",Magoosh
39,0,adjective,relating to the pleasant aspects of the country.,"The noble families of England once owned vast expanses of beautiful, bucolic land.",Magoosh
40,0,verb,grow and flourish.,"China's housing market is burgeoning, but some predict that the growth is merely a bubble and will burst much like the U.S. real estate bubble of 2008.",Magoosh
41,0,noun,"making of a false statement meant to injure a person""s reputation.","With the presidential primaries well under way, the air is thick with calumny, and the mud already waist- high.",Magoosh
42,0,verb,to reprimand harshly.,Drill sergeants are known to castigate new recruits so mercilessly that the latter often break down during their first week in training.,Magoosh
43,0,verb,to express strong disapproval.,"After being caught in bed with a mistress, the mayor was quickly censured by the city council.",Magoosh
44,0,verb,to reprimand harshly.,"Though chastised for his wanton abuse of the pantry, Lawrence shrugged off his mother's harsh words, and continued to plow through jars of cookies and boxes of donuts.",Magoosh
45,0,verb,"to chuckle, laugh merrily.","Walking past the bar, I could hear happy, chortling people and the blast of horns from a jazz band.",Magoosh
46,0,verb,restrict or confine.,Their tour of South America was circumscribed so that they saw only popular destinations and avoided the dangerous parts of cities. This word has other definitions but this is the most important one for the GRE.,Magoosh
47,0,verb,cleverly find a way out of one's duties or obligations.,One way of circumventing the GRE is to apply to a grad school that does not require GRE scores.,Magoosh
48,0,verb,acknowledge defeat I concede.,You win!.,Magoosh
48,0,verb,admit (to a wrongdoing).,"After a long, stern lecture from her father, Olivia conceded to having broken the window.",Magoosh
48,0,verb,give over; surrender or relinquish to the physical control of another.,The Spanish were forced to concede much of the territory they had previously conquered.,Magoosh
49,0,verb,be confusing or perplexing to.,"Though Harry loved numbers, he found calculus confounding.",Magoosh
49,0,verb,mistake one thing for another.,"Americans often confound sweet potatoes with yams, and refer to both vegetables by the same name.",Magoosh
50,0,adjective,without any attempt at concealment; completely obvious.,"American basketball players are always conspicuous when they go abroad--not only are they American, but some are over seven feet tall.",Magoosh
51,0,noun,an abstract part of something.,"The constituents of the metal alloy are nickle, copper, and tin.",Magoosh
52,0,verb,interpreted in a particular way.,The author's inability to take a side on the issue was construed by both his opponents and supporters as a sign of weakness.,Magoosh
53,0,noun,a gathering of persons representative of some larger group.,A small contingent of those loyal to the king have gathered around the castle to defend it.,Magoosh
53,0,adjective,possible but not certain to occur.,Whether the former world champions can win again this year is contingent upon none of its star players getting injured.,Magoosh
54,0,noun,the feeling of remorse or guilt that comes from doing something bad.,Those who show contrition during their prison terms--especially when under review by a parole board-- often get shortened sentences.,Magoosh
55,0,verb,"to pull off a plan or scheme, usually through skill or trickery.","Despite a low GPA, he contrived to get into college, going so far as to write his own glowing letters of recommendation. This word has other definitions but this is the most important one for the GRE.",Magoosh
56,0,adjective,in abundant supply.,"In midsummer, there are copious popiscle stands at the beach; in the winter, there are none.",Magoosh
57,0,adjective,pathetically cowardly.,"Though the man could have at least alerted the police, he crouched cravenly in the corner as the old woman was mugged.",Magoosh
58,0,adjective,"mysterious or vague, usually intentionally.","Since Sarah did not want her husband to guess the Christmas present she had bought him, she only answered cryptically when he would ask her questions about it.",Magoosh
59,0,verb,reach the highest or most decisive point.,"Beethoven's musical genius culminated in the 9th Symphony, which many consider his greatest work.",Magoosh
60,0,noun,a state of guilt.,"Since John had left his banana peel at the top of the stairwell, he accepted culpability for Martha's broken leg.",Magoosh
61,0,adjective,characterized by good taste in manners and conduct.,"Sally's parties are decorous affairs, and instead of the usual beer and music, there is tea and intellectual conversation.",Magoosh
62,0,noun,propriety in manners and conduct.,"You will obey the rules of decorum for this courtroom or spend the night in a jail cell, said the judge to the prosecutor.",Magoosh
63,0,adjective,showing respect.,"If you ever have the chance to meet the president, stand up straight and be deferential.",Magoosh
64,0,adjective,harmful to living things.,The BP oil spill in the Gulf of Mexico was deleterious to the fishing industry in the southern states.,Magoosh
65,0,verb,describe in detail.,"After a brief summary of proper swimming technique, the coach delineated the specifics of each stroke, spending 30 minutes alone on the backstroke.",Magoosh
66,0,verb,to object or show reluctance.,"Wallace disliked the cold, so he demurred when his friends suggested they going skiing in the Alps.",Magoosh
67,0,verb,charge falsely or with malicious intent; attack the good name and reputation of someone.,"Count Rumford denigrated the new theory of heat, demonstrating that it was wholly inadequate to explain the observations.",Magoosh
68,0,verb,be a sign or indication of; have as a meaning.,"Even if the text is not visible, the red octagon denotes ""stop"" to all motorists in America.",Magoosh
69,0,adjective,"(or a creative product, e.","g. music, writing, etc.) not original but drawing on the work of another person. Because the movies were utterly derivative of other popular movies, they did well at the box office. This word has other definitions but this is the most important one for the GRE.",Magoosh
70,0,verb,"come from; be connected by a relationship of blood, for example.","Many words in the English language are derived from Latin, including the word ""derive."".",Magoosh
70,0,verb,reason by deduction; establish by deduction.,"From the multiple set of footprints in the living room, the investigator derived an important clue: Sheila was not alone in the room at the time of the murder.",Magoosh
71,0,adjective,instructive (especially excessively).,"Tolstoy's The Death of Ivan Illyich is a didactic novel, instructing the reader on how to live a good life.",Magoosh
72,0,adjective,showing modest reserve; lacking self-confidence.,"As a young girl she was diffident and reserved, but now as an adult, she is confident and assertive.",Magoosh
73,0,adjective,wasting time.,Lawyers use dilatory tactics so that it takes years before the case is actually decided.,Magoosh
74,0,noun,an amateur who engages in an activity without serious intentions and who pretends to have knowledge.,"Fred has no formal medical training; while he likes to claim authority on medical issues, he is little more than a dilettante.",Magoosh
75,0,adjective,discontented as toward authority.,"After watching his superior take rations from the soliders, he quickly became disaffected and rebeled.",Magoosh
76,0,adjective,constituting a separate entity or part.,"What was once known as Czechoslovakia has since split into two discrete, independent nations.",Magoosh
77,0,adjective,unbiased; neutral.,"The potential juror knew the defendant, and therefore could not serve on the jury, which must consist only of disinterested members.",Magoosh
78,0,adjective,unaffected by strong emotion or prejudice.,"A good scientist should be dispassionate, focusing purely on what the evidence says, without personal attachment.",Magoosh
79,0,verb,cause to become widely known.,"Before the effects of anaethesia were disseminated, patients had to experience the full pain of a surgery.",Magoosh
80,0,adjective,"highly opinionated, not accepting that your belief may not be correct.","Bryan is dogmatic in his belief that the earth is flat, claiming that all pictures of a spherical earth are computer generated.",Magoosh
81,0,noun,compulsory force or threat.,The witness said he signed the contract under duress and argued that the court should cancel the agreement.,Magoosh
82,0,adjective,comprised of a variety of styles.,"Joey was known for his eclectic tastes in music, one moment dancing to disco the next ""air conducting"" along to Beethoven's 9th symphony.",Magoosh
83,0,adjective,"avoiding waste, efficient.","Journalists favor an economical style of writing, in which no unnecessary words are used and every sentence is as short as possible.",Magoosh
84,0,adjective,enlightening or uplifting so as to encourage intellectual or moral improvement.,"I recently read an article in the Times about whether good literature is edifying or not; specifically, does reading more make a person more moral.",Magoosh
85,0,adjective,producing the intended result.,"Since Maggie's cough syrup, which had expired five years back, was no longer efficacious, she coughed through the night.",Magoosh
86,0,adjective,standing out in negative way; shockingly bad.,The dictator's abuse of human rights was so egregious that many world leaders asked that he be tried in an international court for genocide.,Magoosh
87,0,verb,"call forth (emotions, feelings, and responses).",Just smiling--even if you are depressed--can elicit feelings of pleasure and happiness.,Magoosh
88,0,verb,make clearer and easier to understand.,Youtube is great place to learn just about anything--an expert elucidates finer points so that even a complete novice can learn.,Magoosh
89,0,adjective,standing above others in quality or position.,"Shakespeare is an eminent author in the English language, but I find his writing uninteresting and melodramatic.",Magoosh
90,0,verb,to sap energy from.,John preferred to avoid equatorial countries; the intense sun would always leave him enervated after he'd spent the day sightseeing.,Magoosh
91,0,verb,give rise to.,The restrictions of the Treaty of Versailles were so severe that they engendered deep hatred and resentment in the German people.,Magoosh
92,0,adjective,fixed firmly or securely.,"By the time we reach 60-years old, most of our habits are so entrenched that it is difficult for us to change.",Magoosh
93,0,adjective,lasting a very short time.,"The lifespan of a mayfly is ephemeral, lasting from a few hours to a couple of days.",Magoosh
94,0,adjective,confusing or ambiguous.,The findings of the study were equivocal--the two researchers had different opinions on what the results signified.,Magoosh
95,0,verb,to completely destroy.,"I tried eradicating the mosquitos in my apartment with a rolled up newspaper, but there were too many. of them.",Magoosh
96,0,adjective,having or showing profound knowledge.,"Before the Internet, the library was typically were you would find erudite readers.",Magoosh
97,0,verb,avoid and stay away from deliberately; stay clear of.,Politicians are the masters of eschewing morals; academics are the masters of eschewing clarity.,Magoosh
98,0,adjective,confined to and understandable by only an enlightened inner circle.,"Map collecting is an esoteric hobby to most, but to geography geeks it is a highly enjoyable pasttime.",Magoosh
99,0,verb,to adopt or support an idea or cause.,"As a college student, Charlie espoused Marxism, growing his beard out and railing against the evils of the free-market.",Magoosh
100,0,verb,make worse.,"Her sleeplessness exacerbated her cold--when she woke up the next day, her sinuses were completely blocked.",Magoosh
101,0,adjective,requiring and demanding accuracy.,"Though his childhood piano teacher was so exacting, Max is thankful now, as a professional pianist.",Magoosh
102,0,verb,praise or glorify.,"The teenagers exalted the rock star, covering their bedrooms with posters of him.",Magoosh
103,0,verb,pronounce not guilty of criminal charges.,"The document clearly indicated that Nick was out of the state at the time of the crime, and so served to exonerate him of any charges.",Magoosh
104,0,verb,add details or explanation; clarify the meaning; state in depth.,"The CEO refused to expound on the decision to merge our department with another one, and so I quit.",Magoosh
105,0,adjective,the opposite of extinct.,"Despite many bookstores closing, experts predict that some form of book dealing will still be extant generations from now.",Magoosh
106,0,adjective,of a belief that is based on faulty reasoning.,"The widespread belief that Eskimos have forty different words for snow is fallacious, based on one false report.",Magoosh
107,0,adjective,overly concerned with details; fussy.,"Whitney is fastidious about her shoes, arranging them on a shelf in a specific order, each pair evenly spaced.",Magoosh
108,0,verb,try to stir up public opinion.,"After having his pay cut, Phil spread vicious rumors about his boss, hoping to foment a general feeling of discontent.",Magoosh
109,0,adjective,marked by or showing hopelessness.,"After her third pet dog died, Marcia was simply forlorn: this time even the possibility of buying a new dog no longer held any joy.",Magoosh
110,0,adjective,available when required or as promised.,"The President announced that the senators were about to reach a compromise, and that he was eager to read the forthcoming details of the bill.",Magoosh
110,0,adjective,at ease in talking to others.,"As a husband, Larry was not forthcoming: if Jill didn't demand to know details, Larry would never share them with her.",Magoosh
111,0,adjective,occurring by happy chance; having no cause or apparent cause.,"While the real objects are vastly different sizes in space, the sun and the moon seem to have the same fortuitous size in the sky.",Magoosh
112,0,adjective,not serious in content or attitude or behavior.,"Compared to Juliet's passionate concern for human rights, Jake's non-stop concern about football seems somewhat frivolous.",Magoosh
